iter	Passed	Remaining
888	1034	129
889	1035	128
890	1036	126
891	1038	125
892	1039	124
893	1040	123
894	1041	122
895	1042	121
896	1043	119
897	1044	118
898	1045	117
899	1046	116
900	1047	115
901	1048	113
902	1049	112
903	1050	111
904	1051	110
905	1053	109
906	1054	108
907	1055	106
908	1056	105
909	1057	104
910	1058	103
911	1059	102
912	1060	101
913	1061	99
914	1062	98
915	1063	97
916	1064	96
917	1065	95
918	1066	94
919	1067	92
920	1068	91
921	1069	90
922	1070	89
923	1071	88
924	1072	86
925	1073	85
926	1074	84
927	1075	83
928	1076	82
929	1077	81
930	1078	79
931	1079	78
932	1080	77
933	1081	76
934	1082	75
935	1083	74
936	1084	72
937	1085	71
938	1086	70
939	1087	69
940	1088	68
941	1089	67
942	1090	65
943	1091	64
944	1092	63
945	1093	62
946	1094	61
947	1095	60
948	1096	58
949	1097	57
950	1098	56
951	1100	55
952	1101	54
953	1102	53
954	1103	51
955	1104	50
956	1105	49
957	1106	48
958	1107	47
959	1108	46
960	1109	45
961	1110	43
962	1112	42
963	1114	41
964	1115	40
965	1116	39
966	1117	38
967	1118	36
968	1119	35
969	1120	34
970	1121	33
971	1122	32
972	1123	31
973	1124	30
974	1125	28
975	1126	27
976	1128	26
977	1129	25
978	1130	24
979	1131	23
980	1132	21
981	1133	20
982	1134	19
983	1135	18
984	1136	17
985	1138	16
986	1139	15
987	1140	13
988	1141	12
989	1142	11
990	1143	10
991	1144	9
992	1145	8
993	1147	6
994	1148	5
995	1149	4
996	1150	3
997	1151	2
998	1152	1
999	1153	0
